iter	RMSE
541	144118.2573
542	144077.1734
543	143951.2033
544	143879.1335
545	143826.4511
546	143823.9589
547	143798.3066
548	143794.7145
549	143754.7344
550	143752.3462
551	143699.5827
552	143670.3896
553	143633.1669
554	143603.8984
555	143600.7983
556	143577.0446
557	143499.7283
558	143462.2983
559	143456.8432
560	143426.8457
561	143413.1697
562	143409.1374
563	143377.0092
564	143374.3551
565	143320.8437
566	143318.515
567	143277.0724
568	143221.9859
569	143209.0969
570	143184.1162
571	143059.5773
572	142927.0323
573	142896.797
574	142820.4579
575	142792.775
576	142681.5384
577	142656.7799
578	142614.0798
579	142560.2884
580	142494.0681
581	142437.272
582	142386.6511
583	142327.5026
584	142216.5446
585	142179.7895
586	142161.3424
587	142159.362
588	142139.5625
589	142036.0679
590	141989.196
591	141913.591
592	141876.4676
593	141857.757
594	141825.601
595	141801.5024
596	141723.5111
597	141716.2719
598	141689.4612
599	141655.7734
600	141623.2304
601	141584.7974
602	141563.1237
603	141531.6173
604	141448.2188
605	141443.5215
606	141397.4753
607	141297.8805
608	141295.6883
609	141288.3957
610	141249.621
611	141225.1526
612	141072.8358
613	141005.4322
614	140972.1365
615	140893.9697
616	140870.8192
617	140827.9184
618	140802.3635
619	140757.9661
620	140719.8957
621	140661.2139
622	140658.5535
623	140594.3673
624	140566.1839
625	140538.2889
626	140456.185
627	140408.4987
628	140371.6062
629	140347.5242
630	140345.017
631	140257.2317
632	140245.8527
633	140243.0842
634	140207.4265
635	140179.3884
636	140142.7815
637	140130.4832
638	140085.2154
639	140001.6815
640	139948.1316
641	139936.9752
642	139931.6428
643	139889.9335
644	139841.3555
645	139805.9178
646	139751.4374
647	139730.689
648	139661.3255
649	139546.9785
650	139526.6006
651	139498.4895
652	139483.0772
653	139446.741
654	139417.8731
655	139412.6449
656	139371.0347
657	139299.9116
658	139186.2159
659	139184.1863
660	139138.8641
661	139119.3851
662	139117.0356
663	139091.8229
664	138976.2587
665	138947.1288
666	138904.6812
667	138863.7129
668	138848.0334
669	138830.3729
670	138766.0124
671	138734.7244
672	138726.813
673	138664.0322
674	138658.5683
675	138634.8653
676	138624.7719
677	138603.5099
678	138601.3208
679	138560.8976
680	138538.5785
681	138500.9337
682	138455.5962
683	138390.9385
684	138360.9745
685	138323.2927
686	138206.2716
687	138193.2425
688	138160.9391
689	138117.3841
690	138115.2786
691	138083.4058
692	138065.5908
693	138043.5334
694	138022.2616
695	138005.101
696	137993.4189
697	137935.0641
698	137902.4323
699	137855.6398
700	137696.922
701	137614.1358
702	137597.517
703	137574.7873
704	137464.5241
705	137443.3478
706	137441.4197
707	137409.4934
708	137342.0236
709	137284.6682
710	137219.928
711	137145.7148
712	137112.2185
713	137084.3846
714	137082.5031
715	137040.3195
716	137002.8019
717	136937.1905
718	136931.9695
719	136930.3326
720	136928.3925
721	136887.4799
722	136885.168
723	136850.4792
724	136825.9344
725	136798.3684
726	136712.2569
727	136710.1874
728	136657.2003
729	136591.3008
730	136569.4345
731	136513.9357
732	136452.394
733	136401.6877
734	136359.0286
735	136357.6128
736	136278.9453
737	136219.8867
738	136198.3322
739	136155.8292
740	136154.5139
741	136106.3848
742	136086.3427
743	136043.5405
744	135998.0893
745	135981.6534
746	135937.421
747	135935.3068
748	135900.3961
749	135898.7652
750	135897.3395
751	135880.1464
752	135860.5105
753	135792.8585
754	135709.0846
755	135693.427
756	135635.5326
757	135559.3431
758	135542.283
759	135514.848
760	135496.3766
761	135372.8358
762	135300.0924
763	135290.0564
764	135266.3183
765	135244.548
766	135225.7528
767	135224.7124
768	135130.4816
769	135064.7284
770	135018.8486
771	134957.163
772	134955.9085
773	134953.6704
774	134913.4253
775	134903.5481
776	134902.5435
777	134855.9045
778	134796.0168
779	134769.5015
780	134732.2371
781	134672.2523
782	134645.87
783	134609.6965
784	134583.4566
785	134565.5435
786	134483.7792
787	134425.8509
788	134423.9345
789	134396.0263
790	134381.5917
791	134359.5631
792	134273.7681
793	134249.0382
794	134219.8965
795	134143.2013
796	134131.2476
797	134126.0453
798	134121.1846
799	134107.9053
800	134095.0203
801	134020.7658
802	134006.7863
803	133973.5076
804	133937.308
805	133907.8625
806	133862.8325
807	133845.111
808	133832.4009
809	133792.7977
810	133791.4857
811	133749.0183
812	133699.577
813	133673.8407
814	133643.1317
815	133593.4603
816	133511.4912
817	133431.4573
818	133375.1846
819	133359.5833
820	133351.5056
821	133308.6539
822	133306.75
823	133226.5027
824	133170.5338
825	133117.1251
826	133099.0716
827	133031.2599
828	133030.1522
829	132959.6082
830	132930.4376
831	132908.6389
832	132907.4671
833	132906.2502
834	132823.9441
835	132805.4856
836	132772.9671
837	132734.4929
838	132719.0396
839	132690.5036
840	132664.9882
841	132663.0396
842	132634.8342
843	132581.8469
844	132547.479
845	132504.9824
846	132472.6829
847	132432.4903
848	132412.6402
849	132387.9442
850	132386.6677
851	132292.9766
852	132217.5563
853	132178.7943
854	132164.3215
855	132148.2261
856	132126.0294
857	132100.2952
858	132099.2665
859	132047.8411
860	131982.7217
861	131970.7533
862	131932.0142
863	131899.9523
864	131849.6626
865	131819.8115
866	131791.6375
867	131775.3832
868	131763.6295
869	131753.9432
870	131736.1912
871	131654.8337
872	131599.2384
873	131575.7896
874	131573.8007
875	131554.2015
876	131528.6663
877	131467.5137
878	131465.8732
879	131458.6853
880	131448.449
881	131427.2556
882	131380.4404
883	131342.862
884	131279.2834
885	131262.3218
886	131198.279
887	131172.8976
888	131137.6007
889	131113.405
890	131101.5881
891	131055.8291
892	131047.9146
893	131034.288
894	131015.0445
895	130932.2268
896	130896.5461
897	130874.3931
898	130851.8318
899	130799.5259
900	130736.5442
901	130735.0439
902	130716.7008
903	130694.6181
904	130672.3607
905	130671.1115
906	130631.3151
907	130601.1283
908	130569.2598
909	130544.8515
910	130534.3089
911	130482.7527
912	130462.1228
913	130382.0762
914	130360.3995
915	130354.7785
916	130326.3862
917	130313.8646
918	130296.2035
919	130269.5105
920	130245.0656
921	130235.0821
922	130219.2118
923	130216.1188
924	130209.5446
925	130179.6617
926	130178.0602
927	130159.8875
928	130158.3324
929	130157.6601
930	130156.9864
931	130143.6766
932	130142.1907
933	130125.3633
934	130084.6815
935	130083.8861
936	130047.1718
937	130018.0175
938	129979.0075
939	129944.9715
940	129898.0003
941	129872.8616
942	129835.7106
943	129780.5889
944	129761.4594
945	129719.6664
946	129695.615
947	129672.4656
948	129609.0526
949	129599.4457
950	129564.8645
951	129543.966
952	129471.5297
953	129336.2388
954	129306.868
955	129293.429
956	129286.5049
957	129265.807
958	129217.4579
959	129158.5134
960	129143.4756
961	129093.4226
962	129071.1819
963	129045.7138
964	129043.97
965	129016.6502
966	128965.9732
967	128944.9871
968	128931.3444
969	128911.3283
970	128906.9145
971	128838.515
972	128810.1993
973	128755.9636
974	128754.5805
975	128724.8846
976	128724.2849
977	128723.403
978	128695.8205
979	128664.6576
980	128646.3883
981	128616.2944
982	128585.4495
983	128584.5954
984	128535.4026
985	128534.3039
986	128500.5892
987	128497.0934
988	128414.956
989	128410.3608
990	128400.1433
991	128398.5358
992	128358.798
993	128296.943
994	128276.7596
995	128267.2736
996	128203.1007
997	128171.6664
998	128154.5172
999	128143.0304
