Région,Nature,Type,Texte annonce,Prix,Modifiée,Prix_Catégorie,Somme_Prix,Moyenne_Prix,Type_general,Nombre_de_chambres,Nombre_de_salle_de_bain,surface
Hammamet,Vente,Maisons,Villa a hammamet sud,15000000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
El Menzah 9,Vente,Maisons,Villa  de 644 m a menzah,1680000.0,2024-04-12,Haut,6768000.0,846000.0,Villa,5.0,,300
Hammamet,Vente,Maisons,Av villa de charme s4 av,980000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
La Soukra,Vente,Maisons,Villa la soukra sidi fre,990000.0,2024-04-12,Haut,16052000.0,697913.0434782609,Villa,5.0,,300
El Aouina,Vente,App. 2 pièc,Des appartement s2 s3 direct,305000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,2.0,,150
Zaghouan,Vente,Surfaces,Aire de repos zitoun,370000.0,2024-04-12,Moyen-Bas,950000.0,475000.0,Surface,3.0,,150
Le Bardo,Vente,Maisons,Réf 93v résidence appart hôte,4500000.0,2024-04-12,Haut,6890000.0,1378000.0,Villa,5.0,,300
Denden,Vente,Autre,Local commercial à dende,3080000.0,2024-04-12,Haut,6860000.0,1372000.0,Autre,5.0,,300
Hammamet,Vente,Maisons,Villa  jimbaran,950000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
Hammamet,Vente,App. 3 pièc,Appartement philipe à ha,360000.0,2024-04-12,Moyen-Bas,54225000.0,1869827.5862068965,Appartement,3.0,,150
Borj Louzir,Vente,App. 2 pièc,Appartement s2 de 75m2,145000.0,2024-04-12,Bas,1545000.0,772500.0,Appartement,2.0,,150
El Aouina,Vente,App. 4 pièc,Appartement s3 au rd,270000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,4.0,,150
El Menzah 9,Vente,Maisons,Villa jumlee à menzah 9,730000.0,2024-04-12,Moyen-Haut,6768000.0,846000.0,Villa,4.0,,300
Hammam Lif,Vente,Maisons,Petit immeuble hammam li,360000.0,2024-04-12,Moyen-Bas,1359000.0,679500.0,Maison,3.0,,150
Cite El Ghazala,Vente,App. 3 pièc,Des s2 direct promoteur,420000.0,2024-04-12,Moyen-Haut,1030000.0,343333.3333333333,Appartement,3.0,,150
Borj Louzir,Vente,Maisons,Deux villa jumele de 642,1400000.0,2024-04-12,Haut,1545000.0,772500.0,Villa,5.0,,300
Riadh Landlous,Vente,Maisons,Villa de maitre à riadh,1650000.0,2024-04-12,Haut,1650000.0,1650000.0,Villa,5.0,,300
Sidi Salah,Vente,App. 1 pièc,Apprt s0 à chotrana 1   s,120000.0,2024-04-12,Bas,120000.0,120000.0,Appartement,1.0,,150
El Aouina,Vente,App. 3 pièc,Apprt splus  23 à ai,287000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,3.0,,150
Jendouba,Vente,Maisons,Cite el fayez jendouba,650000.0,2024-04-12,Moyen-Haut,650000.0,650000.0,Villa,4.0,,300
El Menzah 6,Vente,App. 3 pièc,Duplex a la menzah 6,550000.0,2024-04-12,Moyen-Haut,3650000.0,1216666.6666666667,Appartement,3.0,,300
El Aouina,Vente,App. 3 pièc,Apprt s2 à  cité el   wah,263610.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,3.0,,150
Le Bardo,Vente,Maisons,Réf 78v une ancienne maison a,560000.0,2024-04-12,Moyen-Haut,6890000.0,1378000.0,Villa,4.0,,300
El Mourouj,Vente,Maisons,Villa à el mourouj 2,400000.0,2024-04-12,Moyen-Haut,4922000.0,273444.44444444444,Maison,3.0,,150
El Aouina,Vente,App. 1 pièc,S1 direct promoteur a la nouv,1850000.0,2024-04-12,Haut,14043620.0,438863.125,Appartement,1.0,,300
El Menzah 7,Vente,App. 3 pièc,S2 212 md menzah 7,212000.0,2024-04-12,Bas,457000.0,228500.0,Appartement,3.0,,150
Cite Bhar Lazre,Vente,App. 3 pièc,Apprt encours de construc,340000.0,2024-04-12,Moyen-Bas,1350000.0,225000.0,Appartement,3.0,,150
Cite Hotel Des,Vente,Maisons,Villa  en cours de constructi,360000.0,2024-04-12,Moyen-Bas,360000.0,360000.0,Maison,3.0,,150
Salambo,Vente,App. 4 pièc,Réf 76v appartement s2 retapé,380000.0,2024-04-12,Moyen-Bas,380000.0,380000.0,Appartement,4.0,,150
Ariana,Vente,App. 2 pièc,Appartement s1 neuf,202000.0,2024-04-12,Bas,1603000.0,400750.0,Appartement,2.0,,150
Hammamet,Vente,Maisons,Dar la palmeraie,1550000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
Jabbes,Vente,Maisons,Maison avec terrain,625000.0,2024-04-12,Moyen-Haut,740000.0,370000.0,Villa,4.0,,300
La Soukra,Vente,Maisons,Villa neuve style duplex,970000.0,2024-04-12,Haut,16052000.0,697913.0434782609,Villa,5.0,,300
Hammamet,Vente,Maisons,Villa rania hammamet,1500000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
El Aouina,Vente,App. 2 pièc,Appartement  s1 enco,178000.0,2024-04-12,Bas,14043620.0,438863.125,Appartement,2.0,,150
Le Kef,Vente,Maisons,Villa haleema à teje,200000.0,2024-04-12,Bas,200000.0,200000.0,Maison,3.0,,150
Mnihla,Vente,Autre,Terrain idéal sur la rou,2739000.0,2024-04-12,Haut,2739000.0,2739000.0,Autre,5.0,,300
Ain Zaghouan,Vente,App. 1 pièc,Du proprietaire directem,160000.0,2024-04-12,Bas,4036000.0,504500.0,Appartement,1.0,,150
Chatt Meriem,Vente,App. 4 pièc,Villa  a chott marie,540000.0,2024-04-12,Moyen-Haut,2340000.0,334285.71428571426,Appartement,4.0,,300
El Aouina,Vente,App. 1 pièc,Un appartement s1 direct prom,167000.0,2024-04-12,Bas,14043620.0,438863.125,Appartement,1.0,,150
La Soukra,Vente,App. 4 pièc,Etage solène à la so,450000.0,2024-04-12,Moyen-Haut,16052000.0,697913.0434782609,Appartement,4.0,,150
El Aouina,Vente,App. 4 pièc,Réf 30v appartement s3 vide,360000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,4.0,,150
Jardins d'el Me,Vente,App. 2 pièc,S1 180 md aux jardins de,180000.0,2024-04-12,Bas,600000.0,300000.0,Appartement,2.0,,150
El Mourouj,Vente,Maisons,Maison dalila,260000.0,2024-04-12,Moyen-Bas,4922000.0,273444.44444444444,Maison,3.0,,150
Bab Menara,Vente,App. 2 pièc,Un appartement a beb mna,120000.0,2024-04-12,Bas,195000.0,97500.0,Appartement,2.0,,150
La Soukra,Vente,App. 2 pièc,Apprt s1 au rdc  à s,180000.0,2024-04-12,Bas,16052000.0,697913.0434782609,Appartement,2.0,,150
Cite Ennasr 2,Vente,App. 4 pièc,S3 à ennasr 2,250000.0,2024-04-12,Moyen-Bas,18235000.0,2605000.0,Appartement,4.0,,150
Zaouiet Sousse,Vente,App. 3 pièc,Maison r plus 2 cité,390000.0,2024-04-12,Moyen-Bas,390000.0,390000.0,Appartement,3.0,,150
Hammamet,Vente,Maisons,Villa hannibal hamma,890000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
Hammamet,Vente,Autre,Complexe donia v904 hamm,15500000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Autre,5.0,,300
La Soukra,Vente,App. 3 pièc,Un appartement s2 neuf à,405000.0,2024-04-12,Moyen-Haut,16052000.0,697913.0434782609,Appartement,3.0,,150
Sidi Jedidi,Vente,Maisons,Villa domino,790000.0,2024-04-12,Moyen-Haut,790000.0,790000.0,Villa,4.0,,300
Cite Ennasr 1,Vente,App. 5 pièc,S4 360 md a ennasr 1,360000.0,2024-04-12,Moyen-Bas,2385000.0,397500.0,Appartement,5.0,,150
Hammamet,Vente,Maisons,V468 villa sandra 1 crax,990000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
La Soukra,Vente,App. 2 pièc,Appartement s1au rdc,180000.0,2024-04-12,Bas,16052000.0,697913.0434782609,Appartement,2.0,,150
El Menzah 9,Vente,App. 3 pièc,S2 380 md menzah 9c,380000.0,2024-04-12,Moyen-Bas,6768000.0,846000.0,Appartement,3.0,,150
Hammamet,Vente,Duplex,Av duplexs4 avec piscine,250000.0,2024-04-12,Moyen-Bas,54225000.0,1869827.5862068965,Autre,3.0,,150
El Aouina,Vente,App. 4 pièc,S plus 4 a cite al wahat,365000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,4.0,,150
Le Bardo,Vente,Maisons,Maison à bardo,350000.0,2024-04-12,Moyen-Bas,6890000.0,1378000.0,Maison,3.0,,150
Jardins de Cart,Vente,App. 2 pièc,S1 avec jardin aux j,410000.0,2024-04-12,Moyen-Haut,3786620.0,757324.0,Appartement,2.0,,150
El Mourouj,Vente,App. 3 pièc,Appartement saif,140000.0,2024-04-12,Bas,4922000.0,273444.44444444444,Appartement,3.0,,150
Bou Argoub,Vente,Maisons,Dar kamel bou argoub,300000.0,2024-04-12,Moyen-Bas,300000.0,300000.0,Maison,3.0,,150
Cite Ennasr 1,Vente,App. 4 pièc,S3 465 md ennasr 1,465000.0,2024-04-12,Moyen-Haut,2385000.0,397500.0,Appartement,4.0,,150
Marsa Safsaf,Vente,App. 3 pièc,Réf 89v bel appartement s 2 r,1500000.0,2024-04-12,Haut,6700000.0,2233333.3333333335,Appartement,3.0,,300
Nouvelle Medina,Vente,App. 2 pièc,Av s2 médina jadida,108000.0,2024-04-12,Bas,1088000.0,272000.0,Appartement,2.0,,150
Cite Ennkhilet,Vente,App. 3 pièc,S2 enkhilete 210 md,210000.0,2024-04-12,Bas,505000.0,252500.0,Appartement,3.0,,150
Cite Bhar Lazre,Vente,App. 2 pièc,Appartement s2  avec,120000.0,2024-04-12,Bas,1350000.0,225000.0,Appartement,2.0,,150
El Aouina,Vente,App. 3 pièc,S plus 2 neuf à l'aouina,285000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,3.0,,150
El Menzah 5,Vente,Duplex,Spacieux duplex à ré,450000.0,2024-04-12,Moyen-Haut,6950000.0,1158333.3333333333,Autre,3.0,,150
Hammam Sousse,Vente,App. 3 pièc,Appartement haut standing a n,180000.0,2024-04-12,Bas,1155000.0,231000.0,Appartement,3.0,,150
Hammamet,Vente,Maisons,Villa nv à monchar v2582,1250000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
Borj Touil,Vente,Maisons,Maisons borj touil,350000.0,2024-04-12,Moyen-Bas,1230000.0,410000.0,Maison,3.0,,150
Bab Menara,Vente,Autre,Fond de commerce d'un re,75000.0,2024-04-12,Bas,195000.0,97500.0,Autre,1.0,,50
Hammamet,Vente,Duplex,Réf 74v une magnifique duplex,650000.0,2024-04-12,Moyen-Haut,54225000.0,1869827.5862068965,Autre,4.0,,300
Ariana,Vente,Surfaces,Murs local a ariana,90000.0,2024-04-12,Bas,1603000.0,400750.0,Surface,1.0,,50
El Aouina,Vente,App. 2 pièc,Appartement s2 à cit,248400.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,2.0,,150
Zone urbaine no,Vente,App. 3 pièc,Appartement moderne  sup,590000.0,2024-04-12,Moyen-Haut,980000.0,490000.0,Appartement,3.0,,300
Kalaa Essghira,Vente,Maisons,Maison a centre ville kalaa s,75000.0,2024-04-12,Bas,783450.0,261150.0,Maison,1.0,,50
Cite Gharnata,Vente,Maisons,Villa de coin au bord de,350000.0,2024-04-12,Moyen-Bas,350000.0,350000.0,Maison,3.0,,150
Borj Touil,Vente,Maisons,Maisons borj touil,330000.0,2024-04-12,Moyen-Bas,1230000.0,410000.0,Maison,3.0,,150
La Soukra,Vente,Maisons,Maison sur deux nive,440000.0,2024-04-12,Moyen-Haut,16052000.0,697913.0434782609,Maison,3.0,,150
Hammamet,Vente,Maisons,V489 villa tej 2 sidi ha,780000.0,2024-04-12,Moyen-Haut,54225000.0,1869827.5862068965,Villa,4.0,,300
El Mourouj,Vente,App. 3 pièc,Appartement nawres,107000.0,2024-04-12,Bas,4922000.0,273444.44444444444,Appartement,3.0,,150
Cite El Ghazala,Vente,App. 3 pièc,S2 ghazela 275 md,275000.0,2024-04-12,Moyen-Bas,1030000.0,343333.3333333333,Appartement,3.0,,150
Gammart,Vente,Maisons,Villa à la marsa,2600000.0,2024-04-12,Haut,7130000.0,1188333.3333333333,Villa,5.0,,300
Cite Ibn Khaldo,Vente,Maisons,Duplex indépendant d'ang,430000.0,2024-04-12,Moyen-Haut,430000.0,430000.0,Maison,3.0,,150
Cite Ennasr 2,Vente,Maisons,Villa a usage commercial,3000000.0,2024-04-12,Haut,18235000.0,2605000.0,Villa,5.0,,300
Chatt Meriem,Vente,App. 4 pièc,S3 avec un prix inte,175000.0,2024-04-12,Bas,2340000.0,334285.71428571426,Appartement,4.0,,150
El Aouina,Vente,Autre,Fond de commerce franchi,390000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Autre,3.0,,150
La Soukra,Vente,App. 4 pièc,Appartement s3 de 155 m,365000.0,2024-04-12,Moyen-Bas,16052000.0,697913.0434782609,Appartement,4.0,,150
Chouchet Rades,Vente,App. 3 pièc,Appartement chouchet rad,300000.0,2024-04-12,Moyen-Bas,300000.0,300000.0,Appartement,3.0,,150
El Mourouj,Vente,App. 3 pièc,Appartement rdc mourouj,120000.0,2024-04-12,Bas,4922000.0,273444.44444444444,Appartement,3.0,,150
La Soukra,Vente,App. 4 pièc,Un appartement s3 à la s,327000.0,2024-04-12,Moyen-Bas,16052000.0,697913.0434782609,Appartement,4.0,,150
El Menzah 9,Vente,App. 3 pièc,S2 direct promoteur a me,470000.0,2024-04-12,Moyen-Haut,6768000.0,846000.0,Appartement,3.0,,150
Jardins de Cart,Vente,App. 2 pièc,Jardin de carthage appar,506620.0,2024-04-12,Moyen-Haut,3786620.0,757324.0,Appartement,2.0,,300
Zone Hoteliere,Vente,App. 4 pièc,Appartement  louana,650000.0,2024-04-12,Moyen-Haut,650000.0,650000.0,Appartement,4.0,,300
El Mourouj,Vente,App. 4 pièc,App mourouj 1,180000.0,2024-04-12,Bas,4922000.0,273444.44444444444,Appartement,4.0,,150
Hammam Lif,Vente,Maisons,Villa centre de hammam l,999000.0,2024-04-12,Haut,1359000.0,679500.0,Villa,5.0,,300
Sfax,Vente,App. 3 pièc,Appart 60m2 avenue de algerie,60000.0,2024-04-12,Bas,60000.0,60000.0,Appartement,3.0,,50
Cite Bhar Lazre,Vente,Duplex,Duplex à bhar lazreg,350000.0,2024-04-12,Moyen-Bas,1350000.0,225000.0,Autre,3.0,,150
El Menzah 6,Vente,Duplex,Triplex s4 rénove au men,600000.0,2024-04-12,Moyen-Haut,3650000.0,1216666.6666666667,Autre,4.0,,300
Kerkouane,Vente,Maisons,Villa aplage kerkouane,150000.0,2024-04-12,Bas,150000.0,150000.0,Maison,3.0,,150
Le Bardo,Vente,Maisons,Maison henda bardo,750000.0,2024-04-12,Moyen-Haut,6890000.0,1378000.0,Villa,4.0,,300
Hammamet,Vente,Maisons,Villa dream v122 zone su,1050000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
Denden,Vente,App. 3 pièc,Haut standing,180000.0,2024-04-12,Bas,6860000.0,1372000.0,Appartement,3.0,,150
Cite Ennasr 2,Vente,App. 4 pièc,S3 haut standing a ennas,410000.0,2024-04-12,Moyen-Haut,18235000.0,2605000.0,Appartement,4.0,,150
El Aouina,Vente,App. 1 pièc,Joli appartement s1,183000.0,2024-04-12,Bas,14043620.0,438863.125,Appartement,1.0,,150
Hammamet,Vente,Maisons,Villa haut standing,750000.0,2024-04-12,Moyen-Haut,54225000.0,1869827.5862068965,Villa,4.0,,300
Hammam Sousse,Vente,App. 3 pièc,Coquette appartement meu,240000.0,2024-04-12,Moyen-Bas,1155000.0,231000.0,Appartement,3.0,,150
El Menzah 5,Vente,Maisons,Ville  de 467m2 menzah 5,1600000.0,2024-04-12,Haut,6950000.0,1158333.3333333333,Villa,5.0,,300
Cite El Mahrsi,Vente,Maisons,V482 villa royale sidi m,2300000.0,2024-04-12,Haut,2300000.0,2300000.0,Villa,5.0,,300
Mornag,Vente,Autre,Terrain faicel,190000.0,2024-04-12,Bas,190000.0,190000.0,Autre,3.0,,150
Carthage,Vente,App. 5 pièc,Magnifique villa à carth,8500000.0,2024-04-12,Haut,11600000.0,5800000.0,Appartement,5.0,,300
Cherifate,Vente,Maisons,Villa slimen,11000000.0,2024-04-12,Haut,11000000.0,11000000.0,Villa,5.0,,300
Sahloul,Vente,App. 3 pièc,Des appartements s2 et s,220000.0,2024-04-12,Bas,220000.0,220000.0,Appartement,3.0,,150
Hammam Sousse,Vente,Maisons,Maison avec étage,230000.0,2024-04-12,Bas,1155000.0,231000.0,Maison,3.0,,150
Cite Ennasr 1,Vente,App. 4 pièc,S3 a ennasr 1 avec jardi,500000.0,2024-04-12,Moyen-Haut,2385000.0,397500.0,Appartement,4.0,,150
Mornaguia,Vente,Maisons,Villa à mornaguia,650000.0,2024-04-12,Moyen-Haut,650000.0,650000.0,Villa,4.0,,300
Monfleury,Vente,Maisons,Appartement jihen montfl,200000.0,2024-04-12,Bas,200000.0,200000.0,Maison,3.0,,150
Ain Zaghouan,Vente,App. 3 pièc,Appartement s plus 2,710000.0,2024-04-12,Moyen-Haut,4036000.0,504500.0,Appartement,3.0,,300
El Aouina,Vente,App. 2 pièc,Appartement s2 à   wahat,263610.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,2.0,,150
Denden,Vente,Autre,Local commercial sur rou,3300000.0,2024-04-12,Haut,6860000.0,1372000.0,Autre,5.0,,300
Chatt Meriem,Vente,Maisons,Maisonnette inachevé,290000.0,2024-04-12,Moyen-Bas,2340000.0,334285.71428571426,Maison,3.0,,150
Ain Zaghouan,Vente,App. 2 pièc,Appartement deux pièces a,240000.0,2024-04-12,Moyen-Bas,4036000.0,504500.0,Appartement,2.0,,150
La Soukra,Vente,App. 3 pièc,Apprt s2 encours de,460000.0,2024-04-12,Moyen-Haut,16052000.0,697913.0434782609,Appartement,3.0,,150
La Soukra,Vente,Maisons,Villa jumelée  avec pisc,1350000.0,2024-04-12,Haut,16052000.0,697913.0434782609,Villa,5.0,,300
