Région,Nature,Type,Texte annonce,Prix,Modifiée,Prix_Catégorie,Somme_Prix,Moyenne_Prix,Type_general,Nombre_de_chambres,Nombre_de_salle_de_bain,surface
El Mourouj,Vente,App. 2 pièc,Bel appartement mrj 5,90000.0,2024-04-12,Bas,4922000.0,273444.44444444444,Appartement,2.0,,50
Kelibia,Vente,Surfaces,Terrain 2835 m2 sur la r,1150000.0,2024-04-12,Haut,2472000.0,353142.85714285716,Surface,5.0,,300
Hammamet,Vente,App. 2 pièc,Immeuble e 4 étages pas,280000.0,2024-04-12,Moyen-Bas,54225000.0,1869827.5862068965,Appartement,2.0,,150
Ain Zaghouan,Vente,App. 3 pièc,Appartement s2 à ain,486000.0,2024-04-12,Moyen-Haut,4036000.0,504500.0,Appartement,3.0,,150
Borj Cedria,Vente,Surfaces,A   terrain pour habitation,400000.0,2024-04-12,Moyen-Haut,1525000.0,381250.0,Surface,3.0,,150
Hammamet,Vente,Maisons,Villa milos 2,860000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
Naassen,Vente,Surfaces,Ferme à naasseen,920000.0,2024-04-12,Haut,1160000.0,580000.0,Surface,5.0,,300
El Aouina,Vente,App. 3 pièc,Apprt s2 avec parkin,325000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,3.0,,150
El Menzah 9,Vente,Maisons,Villa 1090 md a menzah 9,1090000.0,2024-04-12,Haut,6768000.0,846000.0,Villa,5.0,,300
La Soukra,Vente,App. 2 pièc,Appartement s1   à l,165000.0,2024-04-12,Bas,16052000.0,697913.0434782609,Appartement,2.0,,150
Cite Sahloul,Vente,App. 3 pièc,Appartement s2 bien,260000.0,2024-04-12,Moyen-Bas,260000.0,260000.0,Appartement,3.0,,150
El Mourouj,Vente,Duplex,Duplex cité riadh,170000.0,2024-04-12,Bas,4922000.0,273444.44444444444,Autre,3.0,,150
Cite Ennasr 2,Vente,App. 4 pièc,S3 avec jardin à ennasr,475000.0,2024-04-12,Moyen-Haut,18235000.0,2605000.0,Appartement,4.0,,150
Jabbes,Vente,Autre,Terrain bien situe,115000.0,2024-04-12,Bas,740000.0,370000.0,Autre,3.0,,150
Gammart,Vente,Maisons,Villa à gammarth,2200000.0,2024-04-12,Haut,7130000.0,1188333.3333333333,Villa,5.0,,300
El Menzah 5,Vente,Maisons,Villa a usage commercial,1350000.0,2024-04-12,Haut,6950000.0,1158333.3333333333,Villa,5.0,,300
El Aouina,Vente,App. 3 pièc,Apprt s3 à  l'aouina,320000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,3.0,,150
Cite El Ghazala,Vente,App. 4 pièc,S3 335 md ghazela,335000.0,2024-04-12,Moyen-Bas,1030000.0,343333.3333333333,Appartement,4.0,,150
Cite Jardins,Vente,Autre,Bureau h plus 3 à al,379000.0,2024-04-12,Moyen-Bas,764000.0,382000.0,Autre,3.0,,150
Cite Bhar Lazre,Vente,App. 2 pièc,Appartement splus 2 à bha,350000.0,2024-04-12,Moyen-Bas,1350000.0,225000.0,Appartement,2.0,,150
Denden,Vente,App. 2 pièc,Appartement salon plus deux p,180000.0,2024-04-12,Bas,6860000.0,1372000.0,Appartement,2.0,,150
Kelibia,Vente,Surfaces,Terrain 331 m2 à sidi ma,115000.0,2024-04-12,Bas,2472000.0,353142.85714285716,Surface,3.0,,150
El Menzah 5,Vente,Maisons,Villa de charme au menza,1400000.0,2024-04-12,Haut,6950000.0,1158333.3333333333,Villa,5.0,,300
El Aouina,Vente,App. 3 pièc,S3 imran à l'aouina,290000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,3.0,,150
Kelibia,Vente,App. 2 pièc,Villa el mansourah kelib,285000.0,2024-04-12,Moyen-Bas,2472000.0,353142.85714285716,Appartement,2.0,,150
Chatt Meriem,Vente,App. 3 pièc,S2 avec une vue mer,550000.0,2024-04-12,Moyen-Haut,2340000.0,334285.71428571426,Appartement,3.0,,300
Ariana,Vente,Maisons,Réf 77v villa de 3 niveaux au,750000.0,2024-04-12,Moyen-Haut,1603000.0,400750.0,Villa,4.0,,300
El Aouina,Vente,App. 2 pièc,Réf 92v agréable appartement,192000.0,2024-04-12,Bas,14043620.0,438863.125,Appartement,2.0,,150
El Manar 1,Vente,Maisons,Une merveilleuse villa d,750000.0,2024-04-12,Moyen-Haut,1229000.0,409666.6666666667,Villa,4.0,,300
Marsa Safsaf,Vente,Maisons,Une villa a démolir à ma,2800000.0,2024-04-12,Haut,6700000.0,2233333.3333333335,Villa,5.0,,300
El Manar 1,Vente,App. 4 pièc,S plus 3 a el manar,245000.0,2024-04-12,Moyen-Bas,1229000.0,409666.6666666667,Appartement,4.0,,150
Ennagr,Vente,Maisons,Maison kalaa sghira enna,350000.0,2024-04-12,Moyen-Bas,350000.0,350000.0,Maison,3.0,,150
Ghar El Melh,Vente,App. 2 pièc,4 appartments,150000.0,2024-04-12,Bas,150000.0,150000.0,Appartement,2.0,,150
Cite El Moez,Vente,Maisons,Villa bratislava à c,1810000.0,2024-04-12,Haut,1810000.0,1810000.0,Villa,5.0,,300
